company_id,year,category,detail
HDFCBANK,2024-03,OPM_CROSSCHECK_MISMATCH,source=-44685.0,computed=61.41
HDFCLIFE,2013-03,OPM_CROSSCHECK_MISMATCH,source=525.0,computed=96.27
HDFCLIFE,2014-03,OPM_CROSSCHECK_MISMATCH,source=605.0,computed=96.48
HDFCLIFE,2015-03,OPM_CROSSCHECK_MISMATCH,source=874.0,computed=96.79
HDFCLIFE,2016-03,OPM_CROSSCHECK_MISMATCH,source=953.0,computed=94.74
HDFCLIFE,2017-03,OPM_CROSSCHECK_MISMATCH,source=972.0,computed=96.83
HDFCLIFE,2018-03,OPM_CROSSCHECK_MISMATCH,source=1074.0,computed=96.67
HDFCLIFE,2019-03,OPM_CROSSCHECK_MISMATCH,source=1215.0,computed=96.87
HDFCLIFE,2020-03,OPM_CROSSCHECK_MISMATCH,source=1141.0,computed=96.12
HDFCLIFE,2021-03,OPM_CROSSCHECK_MISMATCH,source=1235.0,computed=98.27
HDFCLIFE,2022-03,OPM_CROSSCHECK_MISMATCH,source=778.0,computed=98.84
HDFCLIFE,2023-03,OPM_CROSSCHECK_MISMATCH,source=80.0,computed=99.89
HDFCLIFE,2024-03,OPM_CROSSCHECK_MISMATCH,source=531.0,computed=99.48
HEROMOTOCO,2014-03,OPM_CROSSCHECK_MISMATCH,source=3553.0,computed=85.94
HEROMOTOCO,2015-03,OPM_CROSSCHECK_MISMATCH,source=3520.0,computed=87.22
HEROMOTOCO,2016-03,OPM_CROSSCHECK_MISMATCH,source=4424.0,computed=84.45
HEROMOTOCO,2017-03,OPM_CROSSCHECK_MISMATCH,source=4585.0,computed=83.97
HEROMOTOCO,2018-03,OPM_CROSSCHECK_MISMATCH,source=5334.0,computed=83.57
HEROMOTOCO,2019-03,OPM_CROSSCHECK_MISMATCH,source=5025.0,computed=85.21
HEROMOTOCO,2020-03,OPM_CROSSCHECK_MISMATCH,source=4070.0,computed=86.09
HEROMOTOCO,2021-03,OPM_CROSSCHECK_MISMATCH,source=4058.0,computed=86.90
HEROMOTOCO,2022-03,OPM_CROSSCHECK_MISMATCH,source=3256.0,computed=88.98
